title|desc|media-light|media-dark|media-alt
Participation tools|Suscipit tempora quo facilis provident accusantium ipsum nemo debitis pariatur|/static/placeholder_light.png|/static/placeholder_dark.png|Don't forget alt texts in your images :-)
Spatial Audio|Nostrum placeat necessitatibus eaque rerum dolor facilis repellat impedit recusandae|/static/placeholder_light.png|/static/placeholder_dark.png|Don't forget alt texts in your images :-)
Modern Interface|Ea asperiores possimus nostrum commodi quasi quia tempore autem adipisci|/static/placeholder_light.png|/static/placeholder_dark.png|Don't forget alt texts in your images :-)
Session recaps|Id ex perspiciatis obcaecati eligendi dolorum quod excepturi praesentium aliquam|/static/placeholder_light.png|/static/placeholder_dark.png|Don't forget alt texts in your images :-)
Discussion Prompts|Atque nesciunt odio fugiat eius quidem vitae expedita quia voluptas|/static/placeholder_light.png|/static/placeholder_dark.png|Don't forget alt texts in your images :-)
Picture in picture|Dolor neque perspiciatis accusantium labore blanditiis impedit at laborum atque|/static/placeholder_light.png|/static/placeholder_dark.png|Don't forget alt texts in your images :-)
Seamless breakouts|Numquam magnam quis dicta voluptates delectus ipsum quaerat inventore voluptate|/static/placeholder_light.png|/static/placeholder_dark.png|Don't forget alt texts in your images :-)
Freeform mode|Accusantium in voluptate facilis illum doloremque excepturi corporis obcaecati incidunt|/static/placeholder_light.png|/static/placeholder_dark.png|Don't forget alt texts in your images :-)
Exit surveys|Odio optio veniam voluptatem quisquam tenetur ab iste repellendus porro|/static/placeholder_light.png|/static/placeholder_dark.png|Don't forget alt texts in your images :-)
Adaptive layouts|Blanditiis sed nisi libero itaque eaque explicabo error non vero|/static/placeholder_light.png|/static/placeholder_dark.png|Don't forget alt texts in your images :-)
